Black Coal,Brown Coal,Total energy,Region,Coal Share,year
67650.3,0,72369.377,NSW,0.9347917973647888,2009
64398.6,0,73007.826,NSW,0.8820780391406258,2010
60732.2,0,69680.869,NSW,0.871576386339269,2011
60453.7,0,69332.425,NSW,0.87193978863425,2012
56798.6,0,67985.289,NSW,0.8354542701142301,2013
55819.495,0,66996.639,NSW,0.8331685862629618,2014
0,52094,56689.923,VIC,0.9189287485890569,2009
0,51541.7,56991.274,VIC,0.904378800165092,2010
0,51066.5,58284.622,VIC,0.8761573507330973,2011
0,52059.7,58253.722,VIC,0.8936716524310669,2012
0,45317.6,55300.111,VIC,0.8194847927158772,2013
0,43977.7,54295.153,VIC,0.8099746951629365,2014
50882.2,0,63338.1,QLD,0.8033426957865802,2009
49713.7,0,64378.509,QLD,0.7722095583170464,2010
45864.3,0,63148,QLD,0.7262985367707608,2011
45417.3,0,63663.2,QLD,0.7133995777780571,2012
44415.6,0,62632.4,QLD,0.7091473422701349,2013
40260.7,0,60479.965,QLD,0.6656865624839564,2014
0,4887.4,14455.8,SA,0.33809266868661714,2009
0,4526.6,13796.9,SA,0.3280881937246773,2010
0,4231.6,14169,SA,0.29865198673159715,2011
0,3008,13408.628,SA,0.22433316816604948,2012
0,2237.5,13390,SA,0.1671023151605676,2013
0,2098.5,13119.965,SA,0.15994707302953934,2014
0,0,8597.197,TAS,0,2009
0,0,10014.8,TAS,0,2010
0,0,11577.4,TAS,0,2011
0,0,10617.8,TAS,0,2012
0,0,13094.8,TAS,0,2013
0,0,13999.456,TAS,0,2014
