region,year,month,avg_demand,avg_price,black_coal,brown_coal,total_energy,coal_share,population,mean_max_temp,mean_min_temp,avg_temp
NSW,2010,3,8712.44442204301,25.85460349462366,64398.6,0,73007.826,0.8820780391406258,7128356,25.7,19.3,22.5
NSW,2010,6,9542.501715277778,33.28606944444446,64398.6,0,73007.826,0.8820780391406258,7144292,17.7,9.6,13.65
NSW,2010,9,8537.421465277777,24.16801388888889,64398.6,0,73007.826,0.8820780391406258,7162726,21,12.3,16.65
NSW,2010,12,8252.406438172044,22.467365591397847,64398.6,0,73007.826,0.8820780391406258,7179891,25.8,18.9,22.35
NSW,2011,3,8593.00252016129,26.340873655913978,60732.2,0,69680.869,0.871576386339269,7204737,26,19.2,22.6
NSW,2011,6,9474.452833333333,27.398395833333332,60732.2,0,69680.869,0.871576386339269,7218529,18,10.3,14.15
NSW,2011,9,8448.048597222221,28.556194444444444,60732.2,0,69680.869,0.871576386339269,7239528,21.7,12.5,17.1
NSW,2011,12,7816.726155913979,25.784166666666668,60732.2,0,69680.869,0.871576386339269,7258722,23.1,16.7,19.9
NSW,2012,3,8091.67750672043,25.463239247311822,60453.7,0,69332.425,0.87193978863425,7284982,24.7,17.8,21.25
NSW,2012,6,9148.175006944444,35.998194444444444,60453.7,0,69332.425,0.87193978863425,7304244,17.7,9.7,13.7
NSW,2012,9,7781.196222222223,52.76116666666667,60453.7,0,69332.425,0.87193978863425,7327614,22.5,12,17.25
NSW,2012,12,7690.875618279571,49.817466397849465,60453.7,0,69332.425,0.87193978863425,7353189,26,18.6,22.3
NSW,2013,3,7909.466733870968,52.51055779569892,56798.6,0,67985.289,0.8354542701142301,7382957,26.4,18.9,22.65
NSW,2013,6,8602.354993055556,56.503729166666666,56798.6,0,67985.289,0.8354542701142301,7404032,18.1,10.8,14.45
NSW,2013,9,7520.14675,52.70815277777778,56798.6,0,67985.289,0.8354542701142301,7430904,24.4,13.8,19.1
NSW,2013,12,7702.278555107527,59.03374999999999,56798.6,0,67985.289,0.8354542701142301,7454938,26.4,18.6,22.5
NSW,2014,3,7803.086397849463,48.67628360215054,55819.495,0,66996.639,0.8331685862629618,7487834,26.4,19.2,22.799999999999997
NSW,2014,6,8228.064,49.73598611111111,55819.495,0,66996.639,0.8331685862629618,7508353,19.6,11,15.3
NSW,2014,9,7687.395791666667,39.979263888888894,55819.495,0,66996.639,0.8331685862629618,7536277,21.9,12.3,17.1
NSW,2014,12,7538.827419354839,30.630188172043013,55819.495,0,66996.639,0.8331685862629618,7562171,25.8,19.1,22.450000000000003
QLD,2010,3,6191.984637096774,24.20244623655914,49713.7,0,64378.509,0.7722095583170464,4387801,28.2,20.4,24.299999999999997
QLD,2010,6,5853.017673611111,22.524361111111112,49713.7,0,64378.509,0.7722095583170464,4404744,21.6,11.7,16.65
QLD,2010,9,5726.324791666667,21.201194444444447,49713.7,0,64378.509,0.7722095583170464,4421470,24.8,15.5,20.15
QLD,2010,12,5889.134415322581,22.070793010752688,49713.7,0,64378.509,0.7722095583170464,4436882,27.8,20.5,24.15
QLD,2011,3,6156.711438172043,27.432143817204302,45864.3,0,63148,0.7262985367707608,4457971,28.7,20.3,24.5
QLD,2011,6,5810.654381944444,25.319979166666663,45864.3,0,63148,0.7262985367707608,4476778,20.9,10.3,15.6
QLD,2011,9,5486.505875,28.857451388888887,45864.3,0,63148,0.7262985367707608,4498104,24.9,12.6,18.75
QLD,2011,12,5847.552674731183,25.567950268817203,45864.3,0,63148,0.7262985367707608,4518649,27.6,18.8,23.200000000000003
QLD,2012,3,5974.050369623656,27.193084677419353,45417.3,0,63663.2,0.7133995777780571,4545613,28.2,19.7,23.95
QLD,2012,6,5708.445055555556,34.28236111111111,45417.3,0,63663.2,0.7133995777780571,4568687,21.1,12.1,16.6
QLD,2012,9,5515.5844027777775,52.66450694444445,45417.3,0,63663.2,0.7133995777780571,4592100,25.5,13.4,19.45
QLD,2012,12,6117.515537634408,59.15655241935484,45417.3,0,63663.2,0.7133995777780571,4611304,30.5,21,25.75
QLD,2013,3,5796.506989247312,73.79790322580646,44415.6,0,62632.4,0.7091473422701349,4634430,28.4,19.9,24.15
QLD,2013,6,5646.164847222222,64.43929166666666,44415.6,0,62632.4,0.7091473422701349,4652824,21,12.2,16.6
QLD,2013,9,5417.457951388889,56.0861875,44415.6,0,62632.4,0.7091473422701349,4670784,27.2,14.9,21.05
QLD,2013,12,5791.241021505376,58.23951612903225,44415.6,0,62632.4,0.7091473422701349,4685439,29.7,19.6,24.65
QLD,2014,3,5849.942190860215,49.68241935483871,40260.7,0,60479.965,0.6656865624839564,4705187,29.2,20.1,24.65
QLD,2014,6,5528.205125,50.920402777777774,40260.7,0,60479.965,0.6656865624839564,4719653,23.3,12.6,17.95
QLD,2014,9,5362.369076388889,33.78252777777778,40260.7,0,60479.965,0.6656865624839564,4734613,25.2,12.9,19.05
QLD,2014,12,6212.462782258064,107.27169354838716,40260.7,0,60479.965,0.6656865624839564,4747263,29.9,21.2,25.549999999999997
SA,2010,3,1499.1479032258064,23.579200268817207,0,4526.6,13796.9,0.3280881937246773,1624033,26.7,15.3,21
SA,2010,6,1653.135625,35.41546527777778,0,4526.6,13796.9,0.3280881937246773,1627322,15.7,7.1,11.4
SA,2010,9,1578.175465277778,25.07589583333333,0,4526.6,13796.9,0.3280881937246773,1630230,16.1,9,12.55
SA,2010,12,1452.2264583333333,17.585752688172043,0,4526.6,13796.9,0.3280881937246773,1632482,25.9,15.5,20.7
SA,2011,3,1465.9777352150538,22.369502688172044,0,4231.6,14169,0.29865198673159715,1636759,24.3,15,19.65
SA,2011,6,1575.9984583333332,30.84651388888889,0,4231.6,14169,0.29865198673159715,1639614,16.5,7.8,12.15
SA,2011,9,1407.5783194444443,37.974270833333335,0,4231.6,14169,0.29865198673159715,1643402,20.5,9.3,14.9
SA,2011,12,1413.6397782258064,23.767903225806453,0,4231.6,14169,0.29865198673159715,1647183,26.9,15.3,21.1
SA,2012,3,1403.7008534946235,25.73519489247312,0,3008,13408.628,0.22433316816604948,1652716,25.3,14.7,20
SA,2012,6,1597.0333541666666,26.171618055555545,0,3008,13408.628,0.22433316816604948,1656725,15.3,7.2,11.25
SA,2012,9,1358.6322291666668,53.81256944444444,0,3008,13408.628,0.22433316816604948,1660198,19.1,9,14.05
SA,2012,12,1406.3911223118278,54.83896505376344,0,3008,13408.628,0.22433316816604948,1663082,27,15.5,21.25
SA,2013,3,1551.9644892473118,57.62117607526883,0,2237.5,13390,0.1671023151605676,1668056,27.3,17.6,22.450000000000003
SA,2013,6,1515.0144305555557,109.31243750000002,0,2237.5,13390,0.1671023151605676,1671488,16.1,8.2,12.15
SA,2013,9,1259.6390277777778,61.299479166666664,0,2237.5,13390,0.1671023151605676,1675313,21.3,11.7,16.5
SA,2013,12,1357.7564852150538,79.57231854838714,0,2237.5,13390,0.1671023151605676,1678052,27.1,14.6,20.85
SA,2014,3,1342.8046572580645,49.16670698924732,0,2098.5,13119.965,0.15994707302953934,1683544,26,14.6,20.3
SA,2014,6,1461.3893055555557,54.41759722222222,0,2098.5,13119.965,0.15994707302953934,1686945,16.5,8.9,12.7
SA,2014,9,1287.974951388889,41.067104166666674,0,2098.5,13119.965,0.15994707302953934,1690133,20.1,9.9,15
SA,2014,12,1267.5619086021509,28.622258064516124,0,2098.5,13119.965,0.15994707302953934,1693107,25,14.9,19.95
TAS,2010,3,1094.6258938172043,26.197358870967744,0,0,10014.8,0,508182,22.7,13.5,18.1
TAS,2010,6,1262.8920416666667,30.881944444444446,0,0,10014.8,0,508847,13.4,5,9.2
TAS,2010,9,1213.1163263888889,20.76696527777778,0,0,10014.8,0,509481,14.8,6.6,10.7
TAS,2010,12,1024.5670161290325,16.696875000000002,0,0,10014.8,0,510219,20.3,11.2,15.75
TAS,2011,3,1069.2433602150538,25.829375,0,0,11577.4,0,511248,20,10.9,15.45
TAS,2011,6,1273.8798194444444,29.1676875,0,0,11577.4,0,511483,13.2,5.2,9.2
TAS,2011,9,1142.469451388889,26.403659722222223,0,0,11577.4,0,511880,16.3,7.1,11.7
TAS,2011,12,1027.2962836021509,25.82024193548387,0,0,11577.4,0,511739,20.3,11.6,15.95
TAS,2012,3,1024.5462836021504,35.94358198924729,0,0,10617.8,0,511993,20.7,12,16.35
TAS,2012,6,1161.8193194444443,34.426611111111114,0,0,10617.8,0,511724,12.5,5.3,8.9
TAS,2012,9,1109.6655347222222,39.470395833333335,0,0,10617.8,0,511582,15.9,7.3,11.6
TAS,2012,12,1026.7722043010754,46.70103494623656,0,0,10617.8,0,511813,22.5,12.2,17.35
TAS,2013,3,1040.1873252688172,49.805416666666666,0,0,13094.8,0,512240,22.9,13.5,18.2
TAS,2013,6,1244.7944513888888,49.88199305555554,0,0,13094.8,0,512231,13,6.1,9.55
TAS,2013,9,1140.1801805555556,42.43029861111113,0,0,13094.8,0,512510,16.7,8.2,12.45
TAS,2013,12,1038.5720228494624,37.60333333333336,0,0,13094.8,0,513015,21.2,11.8,16.5
TAS,2014,3,1061.2318951612904,44.780094086021506,0,0,13999.456,0,513681,22,12.6,17.3
TAS,2014,6,1233.442847222222,43.15102777777778,0,0,13999.456,0,513621,13.3,6.4,9.85
TAS,2014,9,1101.645,37.65926388888889,0,0,13999.456,0,513898,17.9,7.8,12.85
TAS,2014,12,1033.2344825268815,45.263985215053786,0,0,13999.456,0,514040,20.3,12.1,16.2
VIC,2010,3,5766.683971774194,22.85391801075269,0,51541.7,56991.274,0.904378800165092,5445172,26.2,16.3,21.25
VIC,2010,6,6248.3973680555555,31.393847222222224,0,51541.7,56991.274,0.904378800165092,5461101,14.6,7.5,11.05
VIC,2010,9,5918.364208333333,22.122916666666665,0,51541.7,56991.274,0.904378800165092,5478710,16.5,9.1,12.8
VIC,2010,12,5396.757694892473,16.515127688172043,0,51541.7,56991.274,0.904378800165092,5495711,24.8,14.5,19.65
VIC,2011,3,5568.744032258064,24.956263440860216,0,51066.5,58284.622,0.8761573507330973,5520378,23.5,14.9,19.2
VIC,2011,6,6081.385416666667,27.930562499999997,0,51066.5,58284.622,0.8761573507330973,5537817,15.8,7.8,11.8
VIC,2011,9,5668.27975,26.98011805555555,0,51066.5,58284.622,0.8761573507330973,5564662,19.4,9.8,14.6
VIC,2011,12,5450.862110215054,22.179206989247312,0,51066.5,58284.622,0.8761573507330973,5591818,25.1,15,20.05
VIC,2012,3,5442.2914986559135,23.698877688172043,0,52059.7,58253.722,0.8936716524310669,5625354,23.7,14.5,19.1
VIC,2012,6,6035.952493055555,36.71865277777778,0,52059.7,58253.722,0.8936716524310669,5651091,14.4,8,11.2
VIC,2012,9,5467.593416666667,53.487270833333326,0,52059.7,58253.722,0.8936716524310669,5680420,18.6,9.9,14.25
VIC,2012,12,5266.809959677419,52.183998655913975,0,52059.7,58253.722,0.8936716524310669,5709586,25.7,15.1,20.4
VIC,2013,3,5679.360255376344,52.30824596774194,0,45317.6,55300.111,0.8194847927158772,5744915,27.6,16.7,22.15
VIC,2013,6,5851.550333333334,60.89626388888888,0,45317.6,55300.111,0.8194847927158772,5772669,15.4,7.4,11.4
VIC,2013,9,5236.558569444444,49.24811805555556,0,45317.6,55300.111,0.8194847927158772,5804499,20.1,11.2,15.65
VIC,2013,12,5152.091290322581,50.32663306451613,0,45317.6,55300.111,0.8194847927158772,5832585,24.7,14.3,19.5
VIC,2014,3,5326.053924731183,45.95807795698925,0,43977.7,54295.153,0.8099746951629365,5869511,25.4,15.3,20.35
VIC,2014,6,5643.773138888889,49.17225,0,43977.7,54295.153,0.8099746951629365,5894917,15.8,9.8,12.8
VIC,2014,9,5070.623479166667,36.27190277777779,0,43977.7,54295.153,0.8099746951629365,5927199,19.3,10,14.65
VIC,2014,12,4846.579220430108,26.54762768817204,0,43977.7,54295.153,0.8099746951629365,5957512,25,15.2,20.1
