year,month,region,population
2009,12,NSW,7101504
2009,12,VIC,5419249
2009,12,QLD,4367454
2009,12,SA,1618578
2009,12,TAS,506461
2010,3,NSW,7128356
2010,3,VIC,5445172
2010,3,QLD,4387801
2010,3,SA,1624033
2010,3,TAS,508182
2010,6,NSW,7144292
2010,6,VIC,5461101
2010,6,QLD,4404744
2010,6,SA,1627322
2010,6,TAS,508847
2010,9,NSW,7162726
2010,9,VIC,5478710
2010,9,QLD,4421470
2010,9,SA,1630230
2010,9,TAS,509481
2010,12,NSW,7179891
2010,12,VIC,5495711
2010,12,QLD,4436882
2010,12,SA,1632482
2010,12,TAS,510219
2011,3,NSW,7204737
2011,3,VIC,5520378
2011,3,QLD,4457971
2011,3,SA,1636759
2011,3,TAS,511248
2011,6,NSW,7218529
2011,6,VIC,5537817
2011,6,QLD,4476778
2011,6,SA,1639614
2011,6,TAS,511483
2011,9,NSW,7239528
2011,9,VIC,5564662
2011,9,QLD,4498104
2011,9,SA,1643402
2011,9,TAS,511880
2011,12,NSW,7258722
2011,12,VIC,5591818
2011,12,QLD,4518649
2011,12,SA,1647183
2011,12,TAS,511739
2012,3,NSW,7284982
2012,3,VIC,5625354
2012,3,QLD,4545613
2012,3,SA,1652716
2012,3,TAS,511993
2012,6,NSW,7304244
2012,6,VIC,5651091
2012,6,QLD,4568687
2012,6,SA,1656725
2012,6,TAS,511724
2012,9,NSW,7327614
2012,9,VIC,5680420
2012,9,QLD,4592100
2012,9,SA,1660198
2012,9,TAS,511582
2012,12,NSW,7353189
2012,12,VIC,5709586
2012,12,QLD,4611304
2012,12,SA,1663082
2012,12,TAS,511813
2013,3,NSW,7382957
2013,3,VIC,5744915
2013,3,QLD,4634430
2013,3,SA,1668056
2013,3,TAS,512240
2013,6,NSW,7404032
2013,6,VIC,5772669
2013,6,QLD,4652824
2013,6,SA,1671488
2013,6,TAS,512231
2013,9,NSW,7430904
2013,9,VIC,5804499
2013,9,QLD,4670784
2013,9,SA,1675313
2013,9,TAS,512510
2013,12,NSW,7454938
2013,12,VIC,5832585
2013,12,QLD,4685439
2013,12,SA,1678052
2013,12,TAS,513015
2014,3,NSW,7487834
2014,3,VIC,5869511
2014,3,QLD,4705187
2014,3,SA,1683544
2014,3,TAS,513681
2014,6,NSW,7508353
2014,6,VIC,5894917
2014,6,QLD,4719653
2014,6,SA,1686945
2014,6,TAS,513621
2014,9,NSW,7536277
2014,9,VIC,5927199
2014,9,QLD,4734613
2014,9,SA,1690133
2014,9,TAS,513898
2014,12,NSW,7562171
2014,12,VIC,5957512
2014,12,QLD,4747263
2014,12,SA,1693107
2014,12,TAS,514040
