Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,066062,1859,01,17.2,Y
IDCJAC0004,066062,1859,02,16.8,Y
IDCJAC0004,066062,1859,03,16.1,Y
IDCJAC0004,066062,1859,04,12.2,Y
IDCJAC0004,066062,1859,05,10.0,Y
IDCJAC0004,066062,1859,06,7.1,Y
IDCJAC0004,066062,1859,07,6.0,Y
IDCJAC0004,066062,1859,08,8.2,Y
IDCJAC0004,066062,1859,09,9.8,Y
IDCJAC0004,066062,1859,10,13.1,Y
IDCJAC0004,066062,1859,11,14.7,Y
IDCJAC0004,066062,1859,12,16.3,Y
IDCJAC0004,066062,1860,01,17.1,Y
IDCJAC0004,066062,1860,02,17.1,Y
IDCJAC0004,066062,1860,03,17.8,Y
IDCJAC0004,066062,1860,04,14.6,Y
IDCJAC0004,066062,1860,05,9.7,Y
IDCJAC0004,066062,1860,06,8.3,Y
IDCJAC0004,066062,1860,07,7.3,Y
IDCJAC0004,066062,1860,08,9.4,Y
IDCJAC0004,066062,1860,09,10.3,Y
IDCJAC0004,066062,1860,10,12.5,Y
IDCJAC0004,066062,1860,11,13.6,Y
IDCJAC0004,066062,1860,12,16.0,Y
IDCJAC0004,066062,1861,01,17.0,Y
IDCJAC0004,066062,1861,02,17.7,Y
IDCJAC0004,066062,1861,03,18.3,Y
IDCJAC0004,066062,1861,04,15.0,Y
IDCJAC0004,066062,1861,05,9.7,Y
IDCJAC0004,066062,1861,06,8.4,Y
IDCJAC0004,066062,1861,07,7.4,Y
IDCJAC0004,066062,1861,08,7.5,Y
IDCJAC0004,066062,1861,09,9.6,Y
IDCJAC0004,066062,1861,10,13.1,Y
IDCJAC0004,066062,1861,11,13.6,Y
IDCJAC0004,066062,1861,12,15.9,Y
IDCJAC0004,066062,1862,01,16.9,Y
IDCJAC0004,066062,1862,02,18.5,Y
IDCJAC0004,066062,1862,03,16.8,Y
IDCJAC0004,066062,1862,04,12.2,Y
IDCJAC0004,066062,1862,05,9.9,Y
IDCJAC0004,066062,1862,06,8.6,Y
IDCJAC0004,066062,1862,07,6.9,Y
IDCJAC0004,066062,1862,08,6.5,Y
IDCJAC0004,066062,1862,09,10.8,Y
IDCJAC0004,066062,1862,10,11.9,Y
IDCJAC0004,066062,1862,11,15.5,Y
IDCJAC0004,066062,1862,12,17.1,Y
IDCJAC0004,066062,1863,01,18.7,Y
IDCJAC0004,066062,1863,02,18.5,Y
IDCJAC0004,066062,1863,03,17.1,Y
IDCJAC0004,066062,1863,04,13.8,Y
IDCJAC0004,066062,1863,05,11.2,Y
IDCJAC0004,066062,1863,06,10.0,Y
