Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,023034,1955,02,25.9,Y
IDCJAC0002,023034,1955,03,25.3,Y
IDCJAC0002,023034,1955,04,21.8,Y
IDCJAC0002,023034,1955,05,16.7,Y
IDCJAC0002,023034,1955,06,15.2,Y
IDCJAC0002,023034,1955,07,14.1,Y
IDCJAC0002,023034,1955,08,16.2,Y
IDCJAC0002,023034,1955,09,19.1,Y
IDCJAC0002,023034,1955,10,20.5,Y
IDCJAC0002,023034,1955,11,21.0,Y
IDCJAC0002,023034,1955,12,23.6,Y
IDCJAC0002,023034,1956,01,25.5,Y
IDCJAC0002,023034,1956,02,29.9,Y
IDCJAC0002,023034,1956,03,25.8,Y
IDCJAC0002,023034,1956,04,21.4,Y
IDCJAC0002,023034,1956,05,18.3,Y
IDCJAC0002,023034,1956,06,14.5,Y
IDCJAC0002,023034,1956,07,14.1,Y
IDCJAC0002,023034,1956,08,14.5,Y
IDCJAC0002,023034,1956,09,16.3,Y
IDCJAC0002,023034,1956,10,18.5,Y
IDCJAC0002,023034,1956,11,21.4,Y
IDCJAC0002,023034,1956,12,22.4,Y
IDCJAC0002,023034,1957,01,26.7,Y
IDCJAC0002,023034,1957,02,26.5,Y
IDCJAC0002,023034,1957,03,24.0,Y
IDCJAC0002,023034,1957,04,21.0,Y
IDCJAC0002,023034,1957,05,18.5,Y
IDCJAC0002,023034,1957,06,19.9,Y
IDCJAC0002,023034,1957,07,13.9,Y
IDCJAC0002,023034,1957,08,15.6,Y
IDCJAC0002,023034,1957,09,17.1,Y
IDCJAC0002,023034,1957,10,20.1,Y
IDCJAC0002,023034,1957,11,22.4,Y
IDCJAC0002,023034,1957,12,26.0,Y
IDCJAC0002,023034,1958,01,26.3,Y
IDCJAC0002,023034,1958,02,26.8,Y
IDCJAC0002,023034,1958,03,23.9,Y
IDCJAC0002,023034,1958,04,23.4,Y
IDCJAC0002,023034,1958,05,19.2,Y
IDCJAC0002,023034,1958,06,14.9,Y
IDCJAC0002,023034,1958,07,14.3,Y
IDCJAC0002,023034,1958,08,15.1,Y
IDCJAC0002,023034,1958,09,16.2,Y
IDCJAC0002,023034,1958,10,18.7,Y
IDCJAC0002,023034,1958,11,23.5,Y
IDCJAC0002,023034,1958,12,23.0,Y
IDCJAC0002,023034,1959,01,28.9,Y
IDCJAC0002,023034,1959,02,26.3,Y
IDCJAC0002,023034,1959,03,25.4,Y
IDCJAC0002,023034,1959,04,22.6,Y
IDCJAC0002,023034,1959,05,19.0,Y
IDCJAC0002,023034,1959,06,16.3,Y
IDCJAC0002,023034,1959,07,14.9,Y
IDCJAC0002,023034,1959,08,17.9,Y
IDCJAC0002,023034,1959,09,18.5,Y
IDCJAC0002,023034,1959,10,20.6,Y
IDCJAC0002,023034,1959,11,26.6,Y
IDCJAC0002,023034,1959,12,22.1,Y
IDCJAC0002,023034,1960,01,30.1,Y
IDCJAC0002,023034,1960,02,25.0,Y
IDCJAC0002,023034,1960,03,25.8,Y
IDCJAC0002,023034,1960,04,19.5,Y
IDCJAC0002,023034,1960,05,15.6,Y
IDCJAC0002,023034,1960,06,14.5,Y
IDCJAC0002,023034,1960,07,14.0,Y
IDCJAC0002,023034,1960,08,14.3,Y
IDCJAC0002,023034,1960,09,16.3,Y
IDCJAC0002,023034,1960,10,21.5,Y
IDCJAC0002,023034,1960,11,20.8,Y
IDCJAC0002,023034,1960,12,27.8,Y
IDCJAC0002,023034,1961,01,30.0,Y
IDCJAC0002,023034,1961,02,27.8,Y
IDCJAC0002,023034,1961,03,25.6,Y
IDCJAC0002,023034,1961,04,22.1,Y
IDCJAC0002,023034,1961,05,18.8,Y
IDCJAC0002,023034,1961,06,17.1,Y
IDCJAC0002,023034,1961,07,14.5,Y
IDCJAC0002,023034,1961,08,15.6,Y
IDCJAC0002,023034,1961,09,20.5,Y
IDCJAC0002,023034,1961,10,22.6,Y
IDCJAC0002,023034,1961,11,23.6,Y
IDCJAC0002,023034,1961,12,25.9,Y
IDCJAC0002,023034,1962,01,28.1,Y
IDCJAC0002,023034,1962,02,27.1,Y
IDCJAC0002,023034,1962,03,25.6,Y
IDCJAC0002,023034,1962,04,22.8,Y
IDCJAC0002,023034,1962,05,17.0,Y
IDCJAC0002,023034,1962,06,17.0,Y
IDCJAC0002,023034,1962,07,15.8,Y
IDCJAC0002,023034,1962,08,15.7,Y
IDCJAC0002,023034,1962,09,18.5,Y
IDCJAC0002,023034,1962,10,19.8,Y
IDCJAC0002,023034,1962,11,25.1,Y
IDCJAC0002,023034,1962,12,24.5,Y
IDCJAC0002,023034,1963,01,27.0,Y
IDCJAC0002,023034,1963,02,27.3,Y
IDCJAC0002,023034,1963,03,24.8,Y
IDCJAC0002,023034,1963,04,21.4,Y
IDCJAC0002,023034,1963,05,17.3,Y
IDCJAC0002,023034,1963,06,15.5,Y
IDCJAC0002,023034,1963,07,13.8,Y
IDCJAC0002,023034,1963,08,15.5,Y
IDCJAC0002,023034,1963,09,18.8,Y
IDCJAC0002,023034,1963,10,22.3,Y
IDCJAC0002,023034,1963,11,24.6,Y
IDCJAC0002,023034,1963,12,26.4,Y
IDCJAC0002,023034,1964,01,26.1,Y
IDCJAC0002,023034,1964,02,25.0,Y
IDCJAC0002,023034,1964,03,24.7,Y
IDCJAC0002,023034,1964,04,21.4,Y
IDCJAC0002,023034,1964,05,18.4,Y
IDCJAC0002,023034,1964,06,15.8,Y
IDCJAC0002,023034,1964,07,15.0,Y
IDCJAC0002,023034,1964,08,15.5,Y
IDCJAC0002,023034,1964,09,17.9,Y
IDCJAC0002,023034,1964,10,18.9,Y
IDCJAC0002,023034,1964,11,23.3,Y
IDCJAC0002,023034,1964,12,21.1,Y
IDCJAC0002,023034,1965,01,26.2,Y
IDCJAC0002,023034,1965,02,28.5,Y
IDCJAC0002,023034,1965,03,25.6,Y
IDCJAC0002,023034,1965,04,19.9,Y
IDCJAC0002,023034,1965,05,18.6,Y
IDCJAC0002,023034,1965,06,16.1,Y
IDCJAC0002,023034,1965,07,14.2,Y
IDCJAC0002,023034,1965,08,15.9,Y
IDCJAC0002,023034,1965,09,18.6,Y
IDCJAC0002,023034,1965,10,22.8,Y
IDCJAC0002,023034,1965,11,23.3,Y
IDCJAC0002,023034,1965,12,28.2,Y
IDCJAC0002,023034,1966,01,29.3,Y
IDCJAC0002,023034,1966,02,26.3,Y
IDCJAC0002,023034,1966,03,25.3,Y
IDCJAC0002,023034,1966,04,21.1,Y
IDCJAC0002,023034,1966,05,17.8,Y
IDCJAC0002,023034,1966,06,16.1,Y
IDCJAC0002,023034,1966,07,13.8,Y
IDCJAC0002,023034,1966,08,15.1,Y
IDCJAC0002,023034,1966,09,17.3,Y
IDCJAC0002,023034,1966,10,19.7,Y
IDCJAC0002,023034,1966,11,24.7,Y
IDCJAC0002,023034,1966,12,24.4,Y
IDCJAC0002,023034,1967,01,25.5,Y
IDCJAC0002,023034,1967,02,29.3,Y
IDCJAC0002,023034,1967,03,25.3,Y
IDCJAC0002,023034,1967,04,24.6,Y
IDCJAC0002,023034,1967,05,19.9,Y
IDCJAC0002,023034,1967,06,18.0,Y
IDCJAC0002,023034,1967,07,15.8,Y
IDCJAC0002,023034,1967,08,15.7,Y
IDCJAC0002,023034,1967,09,18.8,Y
IDCJAC0002,023034,1967,10,23.4,Y
IDCJAC0002,023034,1967,11,25.1,Y
IDCJAC0002,023034,1967,12,25.4,Y
IDCJAC0002,023034,1968,01,31.0,Y
IDCJAC0002,023034,1968,02,30.5,Y
IDCJAC0002,023034,1968,03,26.4,Y
IDCJAC0002,023034,1968,04,23.6,Y
IDCJAC0002,023034,1968,05,16.9,Y
IDCJAC0002,023034,1968,06,15.1,Y
IDCJAC0002,023034,1968,07,13.7,Y
IDCJAC0002,023034,1968,08,14.5,Y
IDCJAC0002,023034,1968,09,17.3,Y
IDCJAC0002,023034,1968,10,21.2,Y
IDCJAC0002,023034,1968,11,21.7,Y
IDCJAC0002,023034,1968,12,25.4,Y
IDCJAC0002,023034,1969,01,30.5,Y
IDCJAC0002,023034,1969,02,26.3,Y
IDCJAC0002,023034,1969,03,24.6,Y
IDCJAC0002,023034,1969,04,22.4,Y
IDCJAC0002,023034,1969,05,17.8,Y
IDCJAC0002,023034,1969,06,15.4,Y
IDCJAC0002,023034,1969,07,15.9,Y
IDCJAC0002,023034,1969,08,17.1,Y
IDCJAC0002,023034,1969,09,15.9,Y
IDCJAC0002,023034,1969,10,22.5,Y
IDCJAC0002,023034,1969,11,23.7,Y
IDCJAC0002,023034,1969,12,23.5,Y
IDCJAC0002,023034,1970,01,26.1,Y
IDCJAC0002,023034,1970,02,29.4,Y
IDCJAC0002,023034,1970,03,24.8,Y
IDCJAC0002,023034,1970,04,22.8,Y
IDCJAC0002,023034,1970,05,17.6,Y
IDCJAC0002,023034,1970,06,16.6,Y
IDCJAC0002,023034,1970,07,15.1,Y
IDCJAC0002,023034,1970,08,14.3,Y
IDCJAC0002,023034,1970,09,15.9,Y
IDCJAC0002,023034,1970,10,20.5,Y
IDCJAC0002,023034,1970,11,23.6,Y
IDCJAC0002,023034,1970,12,25.7,Y
IDCJAC0002,023034,1971,01,27.6,Y
IDCJAC0002,023034,1971,02,29.3,Y
IDCJAC0002,023034,1971,03,28.2,Y
IDCJAC0002,023034,1971,04,24.1,Y
IDCJAC0002,023034,1971,05,17.7,Y
IDCJAC0002,023034,1971,06,15.1,Y
IDCJAC0002,023034,1971,07,14.7,Y
IDCJAC0002,023034,1971,08,15.0,Y
IDCJAC0002,023034,1971,09,17.3,Y
IDCJAC0002,023034,1971,10,20.1,Y
IDCJAC0002,023034,1971,11,21.1,Y
IDCJAC0002,023034,1971,12,24.5,Y
IDCJAC0002,023034,1972,01,26.8,Y
IDCJAC0002,023034,1972,02,28.5,Y
IDCJAC0002,023034,1972,03,24.6,Y
IDCJAC0002,023034,1972,04,23.7,Y
IDCJAC0002,023034,1972,05,20.3,Y
IDCJAC0002,023034,1972,06,17.1,Y
IDCJAC0002,023034,1972,07,15.2,Y
IDCJAC0002,023034,1972,08,16.3,Y
IDCJAC0002,023034,1972,09,19.4,Y
IDCJAC0002,023034,1972,10,21.6,Y
IDCJAC0002,023034,1972,11,23.5,Y
IDCJAC0002,023034,1972,12,27.0,Y
IDCJAC0002,023034,1973,01,30.3,Y
IDCJAC0002,023034,1973,02,27.4,Y
IDCJAC0002,023034,1973,03,24.9,Y
IDCJAC0002,023034,1973,04,23.1,Y
IDCJAC0002,023034,1973,05,19.8,Y
IDCJAC0002,023034,1973,06,14.9,Y
IDCJAC0002,023034,1973,07,16.2,Y
IDCJAC0002,023034,1973,08,16.3,Y
IDCJAC0002,023034,1973,09,18.8,Y
IDCJAC0002,023034,1973,10,21.4,Y
IDCJAC0002,023034,1973,11,23.6,Y
IDCJAC0002,023034,1973,12,27.2,Y
IDCJAC0002,023034,1974,01,30.0,Y
IDCJAC0002,023034,1974,02,26.6,Y
IDCJAC0002,023034,1974,03,27.9,Y
IDCJAC0002,023034,1974,04,21.4,Y
IDCJAC0002,023034,1974,05,18.0,Y
IDCJAC0002,023034,1974,06,16.3,Y
IDCJAC0002,023034,1974,07,15.2,Y
IDCJAC0002,023034,1974,08,16.2,Y
IDCJAC0002,023034,1974,09,16.8,Y
IDCJAC0002,023034,1974,10,19.8,Y
IDCJAC0002,023034,1974,11,22.5,Y
IDCJAC0002,023034,1974,12,25.0,Y
IDCJAC0002,023034,1975,01,25.3,Y
IDCJAC0002,023034,1975,02,29.8,Y
IDCJAC0002,023034,1975,03,24.2,Y
IDCJAC0002,023034,1975,04,21.7,Y
IDCJAC0002,023034,1975,05,19.6,Y
IDCJAC0002,023034,1975,06,15.7,Y
IDCJAC0002,023034,1975,07,17.1,Y
IDCJAC0002,023034,1975,08,15.4,Y
IDCJAC0002,023034,1975,09,18.5,Y
IDCJAC0002,023034,1975,10,19.2,Y
IDCJAC0002,023034,1975,11,24.9,Y
IDCJAC0002,023034,1975,12,28.1,Y
IDCJAC0002,023034,1976,01,26.9,Y
IDCJAC0002,023034,1976,02,29.3,Y
IDCJAC0002,023034,1976,03,25.0,Y
IDCJAC0002,023034,1976,04,21.7,Y
IDCJAC0002,023034,1976,05,17.9,Y
IDCJAC0002,023034,1976,06,15.8,Y
IDCJAC0002,023034,1976,07,15.7,Y
IDCJAC0002,023034,1976,08,16.6,Y
IDCJAC0002,023034,1976,09,17.6,Y
IDCJAC0002,023034,1976,10,18.8,Y
IDCJAC0002,023034,1976,11,23.0,Y
IDCJAC0002,023034,1976,12,26.3,Y
IDCJAC0002,023034,1977,01,28.5,Y
IDCJAC0002,023034,1977,02,29.0,Y
IDCJAC0002,023034,1977,03,24.6,Y
IDCJAC0002,023034,1977,04,20.2,Y
IDCJAC0002,023034,1977,05,18.5,Y
IDCJAC0002,023034,1977,06,15.3,Y
IDCJAC0002,023034,1977,07,15.3,Y
IDCJAC0002,023034,1977,08,19.0,Y
IDCJAC0002,023034,1977,09,17.8,Y
IDCJAC0002,023034,1977,10,22.5,Y
IDCJAC0002,023034,1977,11,23.5,Y
IDCJAC0002,023034,1977,12,27.3,Y
IDCJAC0002,023034,1978,01,26.6,Y
IDCJAC0002,023034,1978,02,27.1,Y
IDCJAC0002,023034,1978,03,26.0,Y
IDCJAC0002,023034,1978,04,22.2,Y
IDCJAC0002,023034,1978,05,19.0,Y
IDCJAC0002,023034,1978,06,15.5,Y
IDCJAC0002,023034,1978,07,14.4,Y
IDCJAC0002,023034,1978,08,14.8,Y
IDCJAC0002,023034,1978,09,16.8,Y
IDCJAC0002,023034,1978,10,21.3,Y
IDCJAC0002,023034,1978,11,23.0,Y
IDCJAC0002,023034,1978,12,25.8,Y
IDCJAC0002,023034,1979,01,31.4,Y
IDCJAC0002,023034,1979,02,29.1,Y
IDCJAC0002,023034,1979,03,25.8,Y
IDCJAC0002,023034,1979,04,20.9,Y
IDCJAC0002,023034,1979,05,17.8,Y
IDCJAC0002,023034,1979,06,17.4,Y
IDCJAC0002,023034,1979,07,15.7,Y
IDCJAC0002,023034,1979,08,15.5,Y
IDCJAC0002,023034,1979,09,17.7,Y
