Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,023034,1955,02,14.6,Y
IDCJAC0004,023034,1955,03,14.0,Y
IDCJAC0004,023034,1955,04,10.9,Y
IDCJAC0004,023034,1955,05,8.6,Y
IDCJAC0004,023034,1955,06,8.4,Y
IDCJAC0004,023034,1955,07,7.1,Y
IDCJAC0004,023034,1955,08,8.1,Y
IDCJAC0004,023034,1955,09,8.8,Y
IDCJAC0004,023034,1955,10,10.7,Y
IDCJAC0004,023034,1955,11,11.3,Y
IDCJAC0004,023034,1955,12,12.9,Y
IDCJAC0004,023034,1956,01,14.3,Y
IDCJAC0004,023034,1956,02,17.7,Y
IDCJAC0004,023034,1956,03,16.4,Y
IDCJAC0004,023034,1956,04,13.0,Y
IDCJAC0004,023034,1956,05,9.3,Y
IDCJAC0004,023034,1956,06,7.6,Y
IDCJAC0004,023034,1956,07,7.8,Y
IDCJAC0004,023034,1956,08,7.2,Y
IDCJAC0004,023034,1956,09,8.5,Y
IDCJAC0004,023034,1956,10,9.4,Y
IDCJAC0004,023034,1956,11,10.4,Y
IDCJAC0004,023034,1956,12,12.1,Y
IDCJAC0004,023034,1957,01,13.1,Y
IDCJAC0004,023034,1957,02,13.6,Y
IDCJAC0004,023034,1957,03,12.0,Y
IDCJAC0004,023034,1957,04,10.9,Y
IDCJAC0004,023034,1957,05,8.8,Y
IDCJAC0004,023034,1957,06,10.5,Y
IDCJAC0004,023034,1957,07,5.3,Y
IDCJAC0004,023034,1957,08,5.8,Y
IDCJAC0004,023034,1957,09,7.4,Y
IDCJAC0004,023034,1957,10,10.0,Y
IDCJAC0004,023034,1957,11,10.9,Y
IDCJAC0004,023034,1957,12,14.5,Y
IDCJAC0004,023034,1958,01,14.1,Y
IDCJAC0004,023034,1958,02,14.5,Y
IDCJAC0004,023034,1958,03,13.1,Y
IDCJAC0004,023034,1958,04,10.3,Y
IDCJAC0004,023034,1958,05,12.0,Y
IDCJAC0004,023034,1958,06,4.7,Y
IDCJAC0004,023034,1958,07,6.1,Y
IDCJAC0004,023034,1958,08,7.8,Y
IDCJAC0004,023034,1958,09,7.5,Y
IDCJAC0004,023034,1958,10,10.7,Y
IDCJAC0004,023034,1958,11,11.8,Y
IDCJAC0004,023034,1958,12,11.2,Y
IDCJAC0004,023034,1959,01,14.8,Y
IDCJAC0004,023034,1959,02,15.3,Y
IDCJAC0004,023034,1959,03,14.4,Y
IDCJAC0004,023034,1959,04,10.5,Y
IDCJAC0004,023034,1959,05,6.4,Y
IDCJAC0004,023034,1959,06,6.1,Y
IDCJAC0004,023034,1959,07,5.3,Y
IDCJAC0004,023034,1959,08,9.0,Y
IDCJAC0004,023034,1959,09,7.5,Y
IDCJAC0004,023034,1959,10,10.5,Y
IDCJAC0004,023034,1959,11,13.7,Y
IDCJAC0004,023034,1959,12,13.1,Y
IDCJAC0004,023034,1960,01,16.6,Y
IDCJAC0004,023034,1960,02,14.4,Y
IDCJAC0004,023034,1960,03,15.1,Y
IDCJAC0004,023034,1960,04,11.2,Y
IDCJAC0004,023034,1960,05,8.1,Y
IDCJAC0004,023034,1960,06,5.7,Y
IDCJAC0004,023034,1960,07,6.1,Y
IDCJAC0004,023034,1960,08,5.7,Y
IDCJAC0004,023034,1960,09,8.6,Y
IDCJAC0004,023034,1960,10,10.1,Y
IDCJAC0004,023034,1960,11,10.4,Y
IDCJAC0004,023034,1960,12,14.9,Y
IDCJAC0004,023034,1961,01,16.8,Y
IDCJAC0004,023034,1961,02,16.1,Y
IDCJAC0004,023034,1961,03,13.7,Y
IDCJAC0004,023034,1961,04,13.2,Y
IDCJAC0004,023034,1961,05,8.7,Y
IDCJAC0004,023034,1961,06,8.5,Y
IDCJAC0004,023034,1961,07,5.9,Y
IDCJAC0004,023034,1961,08,6.1,Y
IDCJAC0004,023034,1961,09,9.0,Y
IDCJAC0004,023034,1961,10,10.7,Y
IDCJAC0004,023034,1961,11,12.0,Y
IDCJAC0004,023034,1961,12,14.1,Y
IDCJAC0004,023034,1962,01,15.6,Y
IDCJAC0004,023034,1962,02,14.7,Y
IDCJAC0004,023034,1962,03,14.4,Y
IDCJAC0004,023034,1962,04,10.6,Y
IDCJAC0004,023034,1962,05,8.4,Y
IDCJAC0004,023034,1962,06,9.4,Y
IDCJAC0004,023034,1962,07,6.8,Y
IDCJAC0004,023034,1962,08,8.0,Y
IDCJAC0004,023034,1962,09,8.7,Y
IDCJAC0004,023034,1962,10,9.9,Y
IDCJAC0004,023034,1962,11,12.8,Y
IDCJAC0004,023034,1962,12,13.9,Y
IDCJAC0004,023034,1963,01,15.4,Y
IDCJAC0004,023034,1963,02,14.7,Y
IDCJAC0004,023034,1963,03,13.8,Y
IDCJAC0004,023034,1963,04,9.8,Y
IDCJAC0004,023034,1963,05,10.2,Y
IDCJAC0004,023034,1963,06,8.0,Y
IDCJAC0004,023034,1963,07,7.6,Y
IDCJAC0004,023034,1963,08,6.9,Y
IDCJAC0004,023034,1963,09,9.4,Y
IDCJAC0004,023034,1963,10,11.0,Y
IDCJAC0004,023034,1963,11,12.1,Y
IDCJAC0004,023034,1963,12,14.0,Y
IDCJAC0004,023034,1964,01,14.2,Y
IDCJAC0004,023034,1964,02,14.8,Y
IDCJAC0004,023034,1964,03,12.5,Y
IDCJAC0004,023034,1964,04,11.8,Y
