Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,094029,1882,04,15.9,Y
IDCJAC0002,094029,1882,05,13.0,Y
IDCJAC0002,094029,1882,06,10.2,Y
IDCJAC0002,094029,1882,07,10.5,Y
IDCJAC0002,094029,1882,08,11.2,Y
IDCJAC0002,094029,1882,09,14.6,Y
IDCJAC0002,094029,1882,10,16.1,Y
IDCJAC0002,094029,1882,11,21.0,Y
IDCJAC0002,094029,1882,12,21.1,Y
IDCJAC0002,094029,1883,01,21.9,Y
IDCJAC0002,094029,1883,02,20.8,Y
IDCJAC0002,094029,1883,03,20.3,Y
IDCJAC0002,094029,1883,04,18.9,Y
IDCJAC0002,094029,1883,05,13.7,Y
IDCJAC0002,094029,1883,06,14.1,Y
IDCJAC0002,094029,1883,07,11.6,Y
IDCJAC0002,094029,1883,08,13.6,Y
IDCJAC0002,094029,1883,09,14.7,Y
IDCJAC0002,094029,1883,10,16.5,Y
IDCJAC0002,094029,1883,11,18.2,Y
IDCJAC0002,094029,1883,12,20.2,Y
IDCJAC0002,094029,1884,01,19.9,Y
IDCJAC0002,094029,1884,02,21.4,Y
IDCJAC0002,094029,1884,03,19.8,Y
IDCJAC0002,094029,1884,04,19.1,Y
IDCJAC0002,094029,1884,05,13.4,Y
IDCJAC0002,094029,1884,06,12.0,Y
IDCJAC0002,094029,1884,07,11.8,Y
IDCJAC0002,094029,1884,08,12.7,Y
IDCJAC0002,094029,1884,09,14.5,Y
IDCJAC0002,094029,1884,10,16.3,Y
IDCJAC0002,094029,1884,11,19.3,Y
IDCJAC0002,094029,1884,12,18.4,Y
IDCJAC0002,094029,1885,01,21.4,Y
IDCJAC0002,094029,1885,02,20.6,Y
IDCJAC0002,094029,1885,03,18.5,Y
IDCJAC0002,094029,1885,04,16.2,Y
IDCJAC0002,094029,1885,05,14.0,Y
IDCJAC0002,094029,1885,06,11.1,Y
IDCJAC0002,094029,1885,07,10.8,Y
IDCJAC0002,094029,1885,08,13.6,Y
IDCJAC0002,094029,1885,09,14.2,Y
IDCJAC0002,094029,1885,10,17.3,Y
IDCJAC0002,094029,1885,11,18.0,Y
IDCJAC0002,094029,1885,12,20.6,Y
IDCJAC0002,094029,1886,01,21.5,Y
IDCJAC0002,094029,1886,02,19.5,Y
IDCJAC0002,094029,1886,03,18.9,Y
IDCJAC0002,094029,1886,04,16.5,Y
IDCJAC0002,094029,1886,05,13.5,Y
IDCJAC0002,094029,1886,06,11.8,Y
IDCJAC0002,094029,1886,07,10.9,Y
IDCJAC0002,094029,1886,08,12.3,Y
IDCJAC0002,094029,1886,09,16.9,Y
IDCJAC0002,094029,1886,10,15.2,Y
IDCJAC0002,094029,1886,11,20.1,Y
IDCJAC0002,094029,1886,12,20.3,Y
IDCJAC0002,094029,1887,01,24.2,Y
IDCJAC0002,094029,1887,02,21.5,Y
IDCJAC0002,094029,1887,03,20.6,Y
IDCJAC0002,094029,1887,04,18.5,Y
IDCJAC0002,094029,1887,05,13.2,Y
IDCJAC0002,094029,1887,06,10.4,Y
IDCJAC0002,094029,1887,07,10.9,Y
IDCJAC0002,094029,1887,08,14.0,Y
IDCJAC0002,094029,1887,09,13.2,Y
IDCJAC0002,094029,1887,10,16.7,Y
IDCJAC0002,094029,1887,11,18.1,Y
IDCJAC0002,094029,1887,12,23.5,Y
IDCJAC0002,094029,1888,01,22.1,Y
IDCJAC0002,094029,1888,02,21.3,Y
IDCJAC0002,094029,1888,03,18.9,Y
IDCJAC0002,094029,1888,04,18.5,Y
IDCJAC0002,094029,1888,05,13.9,Y
IDCJAC0002,094029,1888,06,12.3,Y
IDCJAC0002,094029,1888,07,11.1,Y
IDCJAC0002,094029,1888,08,12.1,Y
IDCJAC0002,094029,1888,09,14.7,Y
IDCJAC0002,094029,1888,10,16.0,Y
IDCJAC0002,094029,1888,11,19.3,Y
IDCJAC0002,094029,1888,12,21.3,Y
IDCJAC0002,094029,1889,01,21.9,Y
IDCJAC0002,094029,1889,02,21.4,Y
IDCJAC0002,094029,1889,03,20.6,Y
IDCJAC0002,094029,1889,04,17.8,Y
IDCJAC0002,094029,1889,05,14.9,Y
IDCJAC0002,094029,1889,06,11.9,Y
IDCJAC0002,094029,1889,07,12.4,Y
IDCJAC0002,094029,1889,08,13.3,Y
IDCJAC0002,094029,1889,09,14.3,Y
IDCJAC0002,094029,1889,10,16.7,Y
IDCJAC0002,094029,1889,11,18.3,Y
IDCJAC0002,094029,1889,12,20.0,Y
IDCJAC0002,094029,1890,01,22.7,Y
IDCJAC0002,094029,1890,02,23.2,Y
IDCJAC0002,094029,1890,03,20.6,Y
