Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,094029,1882,04,7.2,Y
IDCJAC0004,094029,1882,05,6.1,Y
IDCJAC0004,094029,1882,06,3.5,Y
IDCJAC0004,094029,1882,07,3.8,Y
IDCJAC0004,094029,1882,08,4.8,Y
IDCJAC0004,094029,1882,09,6.9,Y
IDCJAC0004,094029,1882,10,7.9,Y
IDCJAC0004,094029,1882,11,10.9,Y
IDCJAC0004,094029,1882,12,11.7,Y
IDCJAC0004,094029,1883,01,13.4,Y
IDCJAC0004,094029,1883,02,13.1,Y
IDCJAC0004,094029,1883,03,12.9,Y
IDCJAC0004,094029,1883,04,10.5,Y
IDCJAC0004,094029,1883,05,5.7,Y
IDCJAC0004,094029,1883,06,7.2,Y
IDCJAC0004,094029,1883,07,4.5,Y
IDCJAC0004,094029,1883,08,6.4,Y
IDCJAC0004,094029,1883,09,5.7,Y
IDCJAC0004,094029,1883,10,7.6,Y
IDCJAC0004,094029,1883,11,9.5,Y
IDCJAC0004,094029,1883,12,9.9,Y
IDCJAC0004,094029,1884,01,10.2,Y
IDCJAC0004,094029,1884,02,11.1,Y
IDCJAC0004,094029,1884,03,10.4,Y
IDCJAC0004,094029,1884,04,9.1,Y
IDCJAC0004,094029,1884,05,5.4,Y
IDCJAC0004,094029,1884,06,5.4,Y
IDCJAC0004,094029,1884,07,5.1,Y
IDCJAC0004,094029,1884,08,5.2,Y
IDCJAC0004,094029,1884,09,5.9,Y
IDCJAC0004,094029,1884,10,6.2,Y
IDCJAC0004,094029,1884,11,8.3,Y
IDCJAC0004,094029,1884,12,9.7,Y
IDCJAC0004,094029,1885,01,11.3,Y
IDCJAC0004,094029,1885,02,11.8,Y
IDCJAC0004,094029,1885,03,9.1,Y
IDCJAC0004,094029,1885,04,8.3,Y
IDCJAC0004,094029,1885,05,6.0,Y
IDCJAC0004,094029,1885,06,3.6,Y
IDCJAC0004,094029,1885,07,2.2,Y
IDCJAC0004,094029,1885,08,5.3,Y
IDCJAC0004,094029,1885,09,6.0,Y
IDCJAC0004,094029,1885,10,7.0,Y
IDCJAC0004,094029,1885,11,8.6,Y
IDCJAC0004,094029,1885,12,11.5,Y
IDCJAC0004,094029,1886,01,12.4,Y
IDCJAC0004,094029,1886,02,10.2,Y
IDCJAC0004,094029,1886,03,9.3,Y
IDCJAC0004,094029,1886,04,8.0,Y
IDCJAC0004,094029,1886,05,5.3,Y
IDCJAC0004,094029,1886,06,4.1,Y
IDCJAC0004,094029,1886,07,3.5,Y
IDCJAC0004,094029,1886,08,4.6,Y
IDCJAC0004,094029,1886,09,6.5,Y
IDCJAC0004,094029,1886,10,5.8,Y
IDCJAC0004,094029,1886,11,9.0,Y
IDCJAC0004,094029,1886,12,10.1,Y
IDCJAC0004,094029,1887,01,13.3,Y
IDCJAC0004,094029,1887,02,11.3,Y
IDCJAC0004,094029,1887,03,10.4,Y
IDCJAC0004,094029,1887,04,7.8,Y
IDCJAC0004,094029,1887,05,5.1,Y
IDCJAC0004,094029,1887,06,5.0,Y
IDCJAC0004,094029,1887,07,4.3,Y
IDCJAC0004,094029,1887,08,5.0,Y
IDCJAC0004,094029,1887,09,4.4,Y
IDCJAC0004,094029,1887,10,7.2,Y
IDCJAC0004,094029,1887,11,7.4,Y
IDCJAC0004,094029,1887,12,11.6,Y
IDCJAC0004,094029,1888,01,11.1,Y
